iter	Logloss
171	0.6505558917
172	0.6505518091
173	0.6504934665
174	0.6504934664
175	0.6504897352
176	0.6504879087
177	0.650466203
178	0.6504557425
179	0.6504439134
180	0.6503954292
181	0.6503946624
182	0.6503626242
183	0.6503342493
184	0.6503342492
185	0.6502876176
186	0.6502372913
187	0.6502327626
188	0.6502130135
189	0.650211957
190	0.6501964958
191	0.6501767309
192	0.6501607926
193	0.6500303854
194	0.64995006
195	0.6499500599
196	0.6499423622
197	0.6499273417
198	0.6497878079
199	0.6497870367
200	0.6497090376
201	0.6497065261
202	0.6496794752
203	0.6496378918
204	0.6496104028
205	0.6495514992
206	0.6495276143
207	0.6495256381
208	0.6493960175
209	0.6492650498
210	0.6491519177
211	0.6491213989
212	0.6491213989
213	0.6491040822
214	0.6490136171
215	0.6489814331
216	0.6488974506
217	0.6488723604
218	0.648732387
219	0.6486402364
220	0.6485996075
221	0.648522551
222	0.6485225148
223	0.6484590364
224	0.64842291
225	0.6483440766
226	0.6482409919
227	0.6481492882
228	0.648062088
229	0.6479785739
230	0.6479256837
231	0.6478536615
232	0.6477809025
233	0.6477047471
234	0.6475682858
235	0.6475004804
236	0.6474476415
237	0.647391342
238	0.6473493903
239	0.6472637965
240	0.6471829677
241	0.6471027809
242	0.6470267957
243	0.6468943303
244	0.6467975345
245	0.6467207722
246	0.6466669117
247	0.6466281399
248	0.6465791603
249	0.6465081383
250	0.6464098293
251	0.6463269227
252	0.6462264587
253	0.646121641
254	0.6460775968
255	0.6459822382
256	0.645930079
257	0.645813472
258	0.6457735433
259	0.6456755918
260	0.6456115066
261	0.6454736873
262	0.6453956548
263	0.6453460509
264	0.6452614155
265	0.6451642738
266	0.6451189032
267	0.6450349857
268	0.6449685229
269	0.6449133605
270	0.6447821362
271	0.6446985593
272	0.644630464
273	0.6445337491
274	0.6443883443
275	0.6443341933
276	0.6443190841
277	0.6442311734
278	0.6441354015
279	0.6441072558
280	0.6440349177
281	0.6439710228
282	0.6439387919
283	0.6438449683
284	0.6437480002
285	0.643660836
286	0.6435779589
287	0.6435069598
288	0.6434091637
289	0.6433288181
290	0.6432130776
291	0.6431379148
292	0.6430794418
293	0.6430520797
294	0.6430248014
295	0.6429191696
296	0.6428476564
297	0.6428099475
298	0.6427154031
299	0.6426595332
300	0.6426176584
301	0.6425333137
302	0.6424044566
303	0.6423704189
304	0.642345679
305	0.6422870452
306	0.6422403692
307	0.642174911
308	0.6421180854
309	0.6420732789
310	0.6419856887
311	0.6419359541
312	0.6418566118
313	0.6417947862
314	0.6417231312
315	0.6416514549
316	0.6415890812
317	0.6415235308
318	0.6414834965
319	0.6414096202
320	0.6412960299
321	0.6412486995
322	0.6411475901
323	0.6410740909
324	0.640975483
325	0.6408907054
326	0.6408379272
327	0.6408160706
328	0.6407468606
329	0.6406647808
330	0.6405894433
331	0.6405662477
332	0.640517384
333	0.6404391452
334	0.6403992434
335	0.6403258836
336	0.6402331022
337	0.6401113224
338	0.6400423487
339	0.6399584466
340	0.6398696849
341	0.6398288873
342	0.6397833779
343	0.6397447935
344	0.6396984061
345	0.6395864793
346	0.6395017451
347	0.6394640451
348	0.6394296611
349	0.639354953
350	0.6392943872
351	0.6392265235
352	0.6391322293
353	0.6390835914
354	0.6390374312
355	0.6390053308
356	0.6389495376
357	0.6388808068
358	0.6388119319
359	0.6387628908
360	0.6386887218
361	0.638645722
362	0.6385830178
363	0.6385002212
364	0.6384107134
365	0.6383641227
366	0.6382994965
367	0.6382611759
368	0.6381513514
369	0.6381133072
370	0.6380507059
371	0.6379490851
372	0.6378756
373	0.6377867771
374	0.6377343844
375	0.6376900359
376	0.6376733521
377	0.6375714336
378	0.6374756933
379	0.6374196027
380	0.637365613
381	0.6373287792
382	0.6372999548
383	0.6372448984
384	0.6371904964
385	0.6371505556
386	0.637127619
387	0.6370524848
388	0.6369901313
389	0.6368891138
390	0.6368516168
391	0.6367813604
392	0.6367627306
393	0.6367038872
394	0.636595883
395	0.6365417997
396	0.6364827238
397	0.6363770152
398	0.6363070322
399	0.6362635038
400	0.6362130416
401	0.6361894863
402	0.6361302993
403	0.6360953533
404	0.6360664667
405	0.6359959874
406	0.6359709559
407	0.6359065076
408	0.6358491683
409	0.6357733862
410	0.6357141631
411	0.6356766581
412	0.6356222732
413	0.6355711342
414	0.6354664157
415	0.6353811868
416	0.6353156082
417	0.6352248154
418	0.6351872984
419	0.6351247597
420	0.6350597481
421	0.6350404243
422	0.6349797131
423	0.6349148607
424	0.6348637083
425	0.6347923333
426	0.6347218214
427	0.6346457322
428	0.6345504626
429	0.6344783381
430	0.634412928
431	0.6343410463
432	0.634268646
433	0.6342177973
434	0.6341683322
435	0.6340749998
436	0.6340237293
437	0.6339946604
438	0.6339083559
439	0.6338658349
440	0.6338553337
441	0.6338182922
442	0.6337897518
443	0.6337297837
444	0.6336292332
445	0.6335903656
446	0.6335495029
447	0.6335159179
448	0.6334379737
449	0.6333938432
450	0.633344388
451	0.6332599833
452	0.6332161646
453	0.6332026783
454	0.6331699489
455	0.6331090534
456	0.6330634689
457	0.6330112317
458	0.6329337058
459	0.6328505922
460	0.6328144267
461	0.6327464933
462	0.6327091525
463	0.6326227178
464	0.6325266196
465	0.6324529007
466	0.6323944492
467	0.632305873
468	0.6322083959
469	0.6321429988
470	0.6321165252
471	0.6320150338
472	0.6319805463
473	0.6319053576
474	0.6318786695
475	0.6318232571
476	0.6317687856
477	0.6316994684
478	0.6316768908
479	0.6315984143
480	0.6315823044
481	0.6315440621
482	0.6315193751
483	0.6315006081
484	0.6314503674
485	0.6314394299
486	0.631388268
487	0.631372227
488	0.6313303207
489	0.6312623793
490	0.6312006011
491	0.6311534336
492	0.6310787529
493	0.6310249421
494	0.6309931029
495	0.6309608657
496	0.6309140926
497	0.6308552934
498	0.6308463779
499	0.6307781732
500	0.63074871
501	0.6307366548
502	0.6307151266
503	0.6306612027
504	0.6306141053
505	0.6305613934
506	0.6304716534
507	0.6303946017
508	0.6303865925
509	0.6303415139
510	0.6303075551
511	0.6302433698
512	0.630208596
513	0.63011884
514	0.6300441509
515	0.6299457145
516	0.6298899723
517	0.6298361565
518	0.6298068163
519	0.6297186581
520	0.6296359355
521	0.6296009386
522	0.6295443209
523	0.6294547749
524	0.6294275611
525	0.6293669703
526	0.6293177697
527	0.6292362506
528	0.6291555883
529	0.6290911943
530	0.6290416647
531	0.6290066765
532	0.6289538777
533	0.6289076251
534	0.6289042719
535	0.6288135403
536	0.6287943012
537	0.6287374395
538	0.6287124457
539	0.6286854379
540	0.6286228409
541	0.6285674361
542	0.6284558851
543	0.6283860061
544	0.6283356994
545	0.628298232
546	0.6282328083
547	0.628213591
548	0.6281561192
549	0.6281240971
550	0.6281024632
551	0.6280413505
552	0.6280073987
553	0.6279919023
554	0.6279449175
555	0.6278362053
556	0.6277531804
557	0.6276815765
558	0.6276654985
559	0.6275952114
560	0.6275509649
561	0.6275319055
562	0.6274893298
563	0.6274251479
564	0.6274188387
565	0.6273340165
566	0.6273152682
567	0.6272360629
568	0.6271966952
569	0.6271307582
570	0.6270680801
571	0.627000432
572	0.62692976
573	0.6268731755
574	0.6268217366
575	0.6267482547
576	0.6267133906
577	0.6266286247
578	0.6265799747
579	0.6265375071
580	0.6264930167
581	0.626448627
582	0.6264091049
583	0.6263648773
584	0.626305545
585	0.6262355077
586	0.6262001804
587	0.6261456125
588	0.6261036631
589	0.6260656757
590	0.6259924189
591	0.6259408096
592	0.6259027438
593	0.6258495495
594	0.6257851572
595	0.6257537742
596	0.6257102121
597	0.6256413169
598	0.6255345185
599	0.6254854788
600	0.6254485608
601	0.6253865851
602	0.6253277461
603	0.6252740337
604	0.6252261264
605	0.6251750175
606	0.6251246387
607	0.6250677134
608	0.6250235225
609	0.6249741068
610	0.6249137031
611	0.6248676578
612	0.6248118447
613	0.624795948
614	0.6247340233
615	0.624675023
616	0.6245928143
617	0.624541099
618	0.6244779165
619	0.6244015163
620	0.6243683655
621	0.6243446765
622	0.6242441565
623	0.624220795
624	0.6241869828
625	0.624176079
626	0.6241247609
627	0.6240865462
628	0.6240561707
629	0.6240045118
630	0.6239496365
631	0.6238871732
632	0.6238542679
633	0.623800292
634	0.623728737
635	0.6237196933
636	0.6236575577
637	0.6236038938
638	0.6235231286
639	0.6234971122
640	0.623444663
641	0.6234268035
642	0.6233695035
643	0.6232990825
644	0.6232418921
645	0.6231902381
646	0.6231770507
647	0.6231273714
648	0.623110186
649	0.6230681006
650	0.6230002604
651	0.6229533278
652	0.6229138279
653	0.6228620484
654	0.6228039034
655	0.62274165
656	0.622686037
657	0.6226582039
658	0.622628485
659	0.6225889248
660	0.622522188
661	0.6225120488
662	0.6224958101
663	0.6224053451
664	0.6223589417
665	0.6223205726
666	0.622257281
667	0.6222327899
668	0.6222009162
669	0.6221465474
670	0.6220830193
671	0.6220682864
672	0.6220124875
673	0.6219501015
674	0.6219004175
675	0.6218663991
676	0.6218208326
677	0.621785299
678	0.6217303886
679	0.6217199545
680	0.6216599152
681	0.6216118004
682	0.6215887308
683	0.6215268421
684	0.6215125769
685	0.6214534122
686	0.621444342
687	0.6214106004
688	0.6213526106
689	0.6212814547
690	0.6212496485
691	0.6211584726
692	0.6211509262
693	0.6210999524
694	0.621087559
695	0.6210612459
696	0.6210158515
697	0.6209780752
698	0.6209596197
699	0.6208955698
